date,value
2020-01-01,-0.3902588800961402
2020-01-02,-0.3833112276063307
2020-01-03,-1.3521539754870302
2020-01-04,-1.9798664946485887
2020-01-05,-0.05896073540841207
2020-01-06,0.3183412039729279
2020-01-07,2.4091693824480345
2020-01-08,-0.5199022318838566
2020-01-09,-2.6990091350016807
2020-01-10,-0.02871909262391492
2020-01-11,1.2839825488304901
2020-01-12,0.3897966484655215
2020-01-13,-2.792173453763085
2020-01-14,-0.7842624725119596
2020-01-15,0.2201841114380878
2020-01-16,-0.7023792811977532
2020-01-17,-2.3145326778493276
2020-01-18,-1.8603430917238
2020-01-19,0.4454538511511754
2020-01-20,2.065096729522061
2020-01-21,0.5718636823418934
2020-01-22,-1.0577226630312975
2020-01-23,-0.6246568790085457
2020-01-24,-1.3011284574239455
2020-01-25,-2.1218858332204813
2020-01-26,-1.022489342063717
2020-01-27,0.5069279042557814
2020-01-28,0.5058026120961118
2020-01-29,-1.200358365078753
2020-01-30,-1.1941396454999489
2020-01-31,-0.518213391977837
2020-02-01,-1.5976698673918863
2020-02-02,-0.9000326959557265
2020-02-03,-0.9278982078671629
2020-02-04,-1.972926165559676
2020-02-05,-1.012854944378219
2020-02-06,0.40188567669746134
2020-02-07,-0.30652613456153477
2020-02-08,0.9835380667764406
2020-02-09,1.0875085040867967
2020-02-10,0.5751343608275019
2020-02-11,0.9591761628090988
2020-02-12,1.353244398430869
2020-02-13,1.485186345049132
2020-02-14,0.771860333124432
2020-02-15,0.5877999220735644
2020-02-16,1.159387125094256
2020-02-17,1.3559369270048758
2020-02-18,0.6859827178914049
2020-02-19,-0.1399591247817102
2020-02-20,-1.135742023463711
2020-02-21,-0.5240463436398861
2020-02-22,0.9151568375203588
2020-02-23,1.1564369482281198
2020-02-24,-0.009070072516435823
2020-02-25,0.3100870692141584
2020-02-26,-1.108007200361588
2020-02-27,-2.1131982858293004
2020-02-28,-0.7567640272803319
2020-02-29,-0.21701453518769806
2020-03-01,-1.0961588911968496
2020-03-02,0.4720105309946706
2020-03-03,1.129297038101573
2020-03-04,-0.014642178407171164
2020-03-05,-1.4772029403001172
2020-03-06,-0.4270106015863764
2020-03-07,0.573824698220793
2020-03-08,0.1859198825888118
2020-03-09,0.9510004698039902
2020-03-10,1.945894722073744
2020-03-11,1.4374364580205357
2020-03-12,0.6036441309138642
2020-03-13,1.6304299206274255
2020-03-14,1.7030532041383126
2020-03-15,0.8840082964150793
2020-03-16,0.8055019649177897
2020-03-17,0.11301527622894686
2020-03-18,-1.3909902429181835
2020-03-19,0.4605927902219805
2020-03-20,2.5767549207434506
2020-03-21,1.925760799923716
2020-03-22,-0.5590888778728044
2020-03-23,0.49171785427317416
2020-03-24,-0.15193383331266452
2020-03-25,-1.6090626727974735
2020-03-26,-1.3025459605647027
2020-03-27,-0.09871549287249859
2020-03-28,-1.2479425524713499
2020-03-29,-1.4664739763904802
2020-03-30,-0.4764824972083812
2020-03-31,-0.707288614172081
2020-04-01,-0.8428059051382293
2020-04-02,-0.6461387444590285
2020-04-03,-1.9543043274288268
2020-04-04,-1.807192663113942
2020-04-05,-0.2789383172789878
2020-04-06,-0.2059766785910655
2020-04-07,-0.743126900132162
2020-04-08,-2.136272506687872
2020-04-09,-2.727645754395072
